Resztvevok,ertelmetlen/1,mn/1,szsz/1,ertelmetlen/2,mn/2,szsz/2,ertelmetlen,mn,szsz,1,2
1,1.392995556,1.444542222,1.486028889,1.252657778,1.532666667,1.50824,1.322826667,1.488604444,1.497134444,1.441188889,1.431188148
2,2.049293333,1.790066667,1.809024444,1.880371111,1.75888,1.750186667,1.964832222,1.774473333,1.779605556,1.882794815,1.796479259
3,1.552508889,1.464513333,1.531573333,1.521055556,1.583655556,1.406391111,1.536782222,1.524084444,1.468982222,1.516198519,1.503700741
4,1.751273333,2.451302222,1.892744444,1.790057778,2.121022222,1.826151111,1.770665556,2.286162222,1.859447778,2.031773333,1.91241037
5,1.302546667,1.350544444,1.319244444,1.334257778,1.319275556,1.280942222,1.318402222,1.33491,1.300093333,1.324111852,1.311491852
6,1.171448889,1.180646667,1.2225,1.152404444,1.223555556,1.267408889,1.161926667,1.202101111,1.244954444,1.191531852,1.214456296
7,1.196035556,1.138,1.127288889,1.152768889,1.252822222,1.15256,1.174402222,1.195411111,1.139924444,1.153774815,1.18605037
8,1.100035556,1.172811111,1.155526667,1.034606667,1.162806667,1.121877778,1.067321111,1.167808889,1.138702222,1.142791111,1.10643037
9,1.798248889,2.297755556,2.106593333,1.862388889,2.257566667,2.2004,1.830318889,2.277661111,2.153496667,2.067532593,2.106785185
10,1.532248889,1.471871111,1.251993333,1.573255556,1.450562222,1.26872,1.552752222,1.461216667,1.260356667,1.418704444,1.430845926
11,1.655497778,1.822135556,1.396753333,1.795288889,1.875135556,1.443431111,1.725393333,1.848635556,1.420092222,1.624795556,1.704618519
12,1.603997778,1.598797778,1.319913333,1.482468889,1.487055556,1.340166667,1.543233333,1.542926667,1.33004,1.50756963,1.436563704
13,1.010837778,0.973704444,0.874482222,1.03606,1.0138,0.910464444,1.023448889,0.993752222,0.892473333,0.953008148,0.986774815
14,1.591842222,1.372082222,1.425626667,1.354835556,1.533482222,1.266897778,1.473338889,1.452782222,1.346262222,1.463183704,1.385071852
15,1.482282222,2.132137778,2.060008889,1.753482222,2.023817778,2.089673333,1.617882222,2.077977778,2.074841111,1.891476296,1.955657778
16,1.706708889,2.053617778,1.635271111,1.517875556,1.875108889,1.462773333,1.612292222,1.964363333,1.549022222,1.798532593,1.618585926
17,3.878593333,4.6816,2.232331111,3.758748889,3.435993333,2.275304444,3.818671111,4.058796667,2.253817778,3.597508148,3.156682222
18,2.722975556,2.719433333,2.899337778,2.555051111,3.316428889,2.470395556,2.639013333,3.017931111,2.684866667,2.780582222,2.780625185
19,5.874782222,3.10084,2.065791111,5.528293333,4.711797778,2.060246667,5.701537778,3.906318889,2.063018889,3.680471111,4.100112593
20,1.655553333,2.13328,1.510306667,1.56204,1.970786667,1.654184444,1.608796667,2.052033333,1.582245556,1.76638,1.729003704
21,1.70748,1.980351111,2.200588889,1.871155556,2.233211111,2.283055556,1.789317778,2.106781111,2.241822222,1.962806667,2.129140741
22,1.035455556,1.044326667,0.953182222,1.02102,1.004946667,0.933977778,1.028237778,1.024636667,0.94358,1.010988148,0.986648148
23,2.552913333,2.493108889,2.378048889,2.459911111,3.122266667,2.4631,2.506412222,2.807687778,2.420574444,2.47469037,2.681759259
24,1.363504444,1.389368889,1.308544444,1.418235556,1.434326667,1.272408889,1.39087,1.411847778,1.290476667,1.353805926,1.37499037
25,1.994853333,1.978235556,2.443628889,1.910633333,2.084708889,2.057371111,1.952743333,2.031472222,2.2505,2.138905926,2.017571111
Végösszeg,1.867356533,1.889402933,1.664253333,1.823156978,1.9514272,1.630653156,1.845256756,1.920415067,1.647453244,1.807004267,1.801745778
